Phenotype,Orthogroup,Gene_count,Maize_gene,Maize_pvalue_max,Sorghum_gene,Sorghum_pvalue_max,Rice_gene,Rice_pvalue_max,Barley_gene,Barley_pvalue_max,Arabidopsis_gene,Arabidopsis_pvalue_max
PC1,5017799at2759,5,Zm00001eb192230;Zm00001eb204210,Zm00001eb192230:0.00202229;Zm00001eb204210:0.00221887,SORBI_3005G087800;SORBI_3006G209400,SORBI_3005G087800:0.00206631;SORBI_3006G209400:9.81866e-05,LOC_Os04g04520,LOC_Os04g04520:0.000212413,HORVU.MOREX.r3.2HG0202320,HORVU.MOREX.r3.2HG0202320:0.00105685,AT1G34750;AT2G30020,AT1G34750:0.00248411;AT2G30020:0.000998009
PC1,128682at3193,4,Zm00001eb351150,Zm00001eb351150:0.00441239,SORBI_3009G170100,SORBI_3009G170100:0.00301049,LOC_Os10g04780,LOC_Os10g04780:0.000309463,,,AT2G31160;AT5G28490,AT2G31160:0.00129762;AT5G28490:0.00247871
PC1,1873865at2759,4,Zm00001eb388080,Zm00001eb388080:0.000380873,SORBI_3003G128800,SORBI_3003G128800:0.000713493,LOC_Os03g08220,LOC_Os03g08220:0.000864233,,,AT5G02260,AT5G02260:0.000686117
PC1,35153at2759,4,Zm00001eb062910;Zm00001eb277700;Zm00001eb356130;Zm00001eb384860,Zm00001eb062910:0.00101153;Zm00001eb277700:0.00129704;Zm00001eb356130:0.00195703;Zm00001eb384860:0.00112684,SORBI_3001G031900;SORBI_3009G198700,SORBI_3001G031900:0.00193064;SORBI_3009G198700:0.00180295,LOC_Os01g07500,LOC_Os01g07500:0.000574062,,,AT1G01200;AT1G07410;AT1G16920,AT1G01200:0.00145939;AT1G07410:0.00203316;AT1G16920:0.000463858
PC1,381908at2759,4,Zm00001eb038610;Zm00001eb289980;Zm00001eb351770,Zm00001eb038610:0.000769899;Zm00001eb289980:0.00300275;Zm00001eb351770:0.00202096,SORBI_3001G003600,SORBI_3001G003600:0.00101812,,,HORVU.MOREX.r3.2HG0198640;HORVU.MOREX.r3.3HG0303800,HORVU.MOREX.r3.2HG0198640:0.000208426;HORVU.MOREX.r3.3HG0303800:0.00133739,AT2G04570;AT2G30310;AT5G33370,AT2G04570:0.00201502;AT2G30310:1.23175e-05;AT5G33370:0.00127334
PC1,4925430at2759,4,Zm00001eb041140;Zm00001eb110020,Zm00001eb041140:0.00370214;Zm00001eb110020:0.00102378,SORBI_3003G302800;SORBI_3010G186300,SORBI_3003G302800:0.000868515;SORBI_3010G186300:0.00217323,,,HORVU.MOREX.r3.1HG0017980,HORVU.MOREX.r3.1HG0017980:0.000928162,AT1G30270;AT3G17510;AT3G23000;AT5G07070,AT1G30270:0.00138801;AT3G17510:0.000859761;AT3G23000:0.000848025;AT5G07070:0.000866359
PC1,4999782at2759,4,Zm00001eb047520,Zm00001eb047520:0.000906344,SORBI_3007G036800,SORBI_3007G036800:0.00310945,,,HORVU.MOREX.r3.2HG0159100,HORVU.MOREX.r3.2HG0159100:0.000216938,AT3G03690;AT3G15350,AT3G03690:0.00176815;AT3G15350:0.00226004
PC1,589535at2759,4,Zm00001eb039590,Zm00001eb039590:0.00450007,SORBI_3009G202900,SORBI_3009G202900:0.000566856,,,HORVU.MOREX.r3.4HG0332600,HORVU.MOREX.r3.4HG0332600:1.25991e-05,AT3G21510,AT3G21510:0.00015128
PC1,627709at2759,4,Zm00001eb058360,Zm00001eb058360:0.00191625,SORBI_3001G079600,SORBI_3001G079600:0.00290525,LOC_Os03g07640,LOC_Os03g07640:0.000617945,,,AT2G30090,AT2G30090:0.000998009
PC1,635367at2759,4,Zm00001eb339070,Zm00001eb339070:0.00460907,,,LOC_Os07g01420,LOC_Os07g01420:0.000378613,HORVU.MOREX.r3.1HG0083700,HORVU.MOREX.r3.1HG0083700:0.00115346,AT4G11220,AT4G11220:0.00156108
