"species","snp","chr","pos","p","logp","p_cutoff","cutoff_logp","bonf_cutoff","bonf_logp"
"Arabidopsis","Chr2_6790599.0","2",6790599,8.702079e-13,12.060376978374,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6777260.0","2",6777260,4.03693e-12,11.3939487811513,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6790940.0","2",6790940,5.00075e-12,11.300964856377,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6766190.0","2",6766190,1.895282e-11,10.722326161985,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6772151.0","2",6772151,1.895282e-11,10.722326161985,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6776473.0","2",6776473,1.895282e-11,10.722326161985,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr3_14481628.0","3",14481628,2.639853e-11,10.5784202561098,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr3_14481616.0","3",14481616,3.639099e-11,10.4390061294732,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr3_14481618.0","3",14481618,5.238248e-11,10.280813944154,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr4_8883701.0","4",8883701,7.550951e-11,10.1219983479678,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr4_11405588.0","4",11405588,1.414694e-10,9.84933748839623,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6767446.0","2",6767446,1.823265e-10,9.73915020480984,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_6775564.0","2",6775564,1.823265e-10,9.73915020480984,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_17534085.0","2",17534085,1.939691e-10,9.71226744928801,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_17536102.0","2",17536102,1.939691e-10,9.71226744928801,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
"Arabidopsis","Chr2_17540824.0","2",17540824,1.939691e-10,9.71226744928801,0.003305591,2.48075088259503,1.44596305911415e-08,7.83984280208147
