
MAIZE|EnsemblGenome=Zm00001eb110070|UniProtKB=B4FSU1	Zm00001eb110070	Transmembrane emp24 domain-containing protein 10;100217126;PTN002737049;orthologs	OS07G0632700 PROTEIN (PTHR22811:SF129)	vesicle coat protein(PC00235)		intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);Golgi organization(GO:0007030)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum-Golgi intermediate compartment(GO:0005793);Golgi apparatus(GO:0005794);membrane(GO:0016020);COPII-coated ER to Golgi transport vesicle(GO:0030134)
MAIZE|EnsemblGenome=Zm00001eb117300|UniProtKB=A0A1D6F9X5	Zm00001eb117300	Calcium-dependent protein kinase 20;103648263;PTN002806075;orthologs	CALCIUM-DEPENDENT PROTEIN KINASE 20 (PTHR24349:SF360)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb384860|UniProtKB=C0PN94	Zm00001eb384860	Ras-related protein RABA1d;ZEAMMB73_Zm00001d046313;PTN002785740;orthologs	RAS-RELATED PROTEIN RABA1D (PTHR24073:SF1066)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	intracellular protein transport(GO:0006886)	endomembrane system(GO:0012505)
MAIZE|EnsemblGenome=Zm00001eb069640|UniProtKB=A0A1D6DXK9	Zm00001eb069640	GH16 domain-containing protein;100283533;PTN002827471;orthologs	XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE PROTEIN 9 (PTHR31062:SF108)	hydrolase(PC00121)	hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)	carbohydrate metabolic process(GO:0005975);plant-type secondary cell wall biogenesis(GO:0009834)	
MAIZE|EnsemblGenome=Zm00001eb379100|UniProtKB=C4JA36	Zm00001eb379100	Binding partner of ACD11 1;ZEAMMB73_Zm00001d045559;PTN002845077;orthologs	RNA-BINDING REGION RNP-1 DOMAIN-CONTAINING PROTEIN (PTHR32343:SF10)	RNA splicing factor(PC00148)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
MAIZE|EnsemblGenome=Zm00001eb062530|UniProtKB=B4FNJ6	Zm00001eb062530	Ras-related protein ARA-3;100272423;PTN002785632;orthologs	OS03G0819900 PROTEIN (PTHR47980:SF73)		nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	exocytosis(GO:0006887)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb122470|UniProtKB=A0A804MZ30	Zm00001eb122470	ABC transporter domain-containing protein;unassigned;PTN002710689;orthologs	ABC TRANSPORTER G FAMILY MEMBER 31 (PTHR19241:SF675)	ATP-binding cassette (ABC) transporter(PC00003)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb304280|UniProtKB=A0A1D6HWL6	Zm00001eb304280	Pectin lyase-like superfamily protein;100501436;PTN002832007;orthologs	OS07G0245200 PROTEIN (PTHR31339:SF20)	lyase(PC00144)			
MAIZE|EnsemblGenome=Zm00001eb228140|UniProtKB=P0DL10	Zm00001eb228140	Leucine-rich repeat receptor-like kinase protein THICK TASSEL DWARF1;TD1;PTN002818815;orthologs	RECEPTOR PROTEIN KINASE CLAVATA1 (PTHR48056:SF44)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);receptor serine/threonine kinase binding(GO:0033612);protein serine kinase activity(GO:0106310)	regulation of meristem structural organization(GO:0009934);regulation of meristem growth(GO:0010075);regulation of floral meristem growth(GO:0010080);cell differentiation(GO:0030154);gametophyte development(GO:0048229);floral organ development(GO:0048437);specification of floral organ number(GO:0048833)	membrane(GO:0016020)
MAIZE|EnsemblGenome=Zm00001eb063370|UniProtKB=A0A1D6LAC7	Zm00001eb063370	Pectin lyase-like superfamily protein;ZEAMMB73_Zm00001d034727;PTN002832010;orthologs	PLASMIN AND FIBRONECTIN-BINDING PROTEIN A (PTHR31339:SF9)	lyase(PC00144)			
MAIZE|EnsemblGenome=Zm00001eb425840|UniProtKB=C4IZA5	Zm00001eb425840	Peroxidase superfamily protein;100273055;PTN002830384;orthologs	PEROXIDASE 18-RELATED (PTHR31235:SF9)	peroxidase(PC00180)	catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
