Orthogroup,Gene_count,Species_present,Maize_example_gene,Putative_function_from_maize_annotation,GO_MF,GO_BP,GO_CC,Maize_gene,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
4925035at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb160330,Calcineurin B-like protein,,,,Zm00001eb160330,,LOC_Os02g02910,HORVU.MOREX.r3.6HG0626000,AT5G24270
705275at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb362000,Flavin-containing monooxygenase,"monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)",auxin biosynthetic process(GO:0009851),,Zm00001eb362000,,LOC_Os03g01620,HORVU.MOREX.r3.2HG0096800,AT1G04610;AT4G28720
705275at3193,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb362000,Flavin-containing monooxygenase,"monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)",auxin biosynthetic process(GO:0009851),,Zm00001eb362000,,LOC_Os03g01620,HORVU.MOREX.r3.2HG0096800,AT1G04610;AT4G28720
705275at33090,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb362000,Flavin-containing monooxygenase,"monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)",auxin biosynthetic process(GO:0009851),,Zm00001eb362000,,LOC_Os03g01620,HORVU.MOREX.r3.2HG0096800,AT1G04610;AT4G28720
666932at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb068530,,,,,Zm00001eb068530,SORBI_3010G052600,,HORVU.MOREX.r3.2HG0204820,AT3G50260;AT5G67190
666932at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb068530,,,,,Zm00001eb068530,SORBI_3010G052600,,HORVU.MOREX.r3.2HG0204820,AT3G50260;AT5G67190
666932at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb068530,,,,,Zm00001eb068530,SORBI_3010G052600,,HORVU.MOREX.r3.2HG0204820,AT3G50260;AT5G67190
91193at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb015710,,,,,Zm00001eb015710;Zm00001eb215310,SORBI_3001G099100,,HORVU.MOREX.r3.7HG0669790,AT5G49720
91193at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb015710,,,,,Zm00001eb015710;Zm00001eb215310,SORBI_3001G099100,,HORVU.MOREX.r3.7HG0669790,AT5G49720
5006558at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb189920,Aldehyde dehydrogenase domain-containing protein,,,,Zm00001eb189920,SORBI_3004G250900,,HORVU.MOREX.r3.3HG0308840;HORVU.MOREX.r3.5HG0480430,AT3G24503
