Orthogroup,Gene_count,Species_present,Maize_example_gene,Putative_function_from_maize_annotation,GO_MF,GO_BP,GO_CC,Maize_gene,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
599360at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb178270,Amino acid transporter transmembrane domain-containing protein,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020),Zm00001eb178270;Zm00001eb349050;Zm00001eb384620;Zm00001eb408430,,LOC_Os07g01340,HORVU.MOREX.r3.7HG0667720,AT1G58360
482605at33090,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb389520,D-3-phosphoglycerate dehydrogenase,"phosphoglycerate dehydrogenase activity(GO:0004617);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD binding(GO:0051287)",L-serine biosynthetic process(GO:0006564);amino acid biosynthetic process(GO:0008652),chloroplast(GO:0009507);plastid(GO:0009536);chloroplast stroma(GO:0009570),Zm00001eb389520,,LOC_Os08g04470,HORVU.MOREX.r3.1HG0058280,AT3G19480;AT4G34200
4829478at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb032800,E3 ubiquitin-protein ligase RMA,ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);ubiquitin-like protein conjugating enzyme binding(GO:0044390);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567);ERAD pathway(GO:0036503),cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);endomembrane system(GO:0012505),Zm00001eb032800;Zm00001eb217370,,LOC_Os12g06360,HORVU.MOREX.r3.2HG0183830,AT4G28270
4495752at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb368580,Laccase,copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716),lignin catabolic process(GO:0046274),apoplast(GO:0048046),Zm00001eb368580,,LOC_Os12g01080,HORVU.MOREX.r3.2HG0097360,AT2G38080;AT3G09220;AT4G39830
4653520at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb400530,Nucleotidyl transferase domain-containing protein,nucleotidyltransferase activity(GO:0016779),,cytoplasm(GO:0005737),Zm00001eb400530,,LOC_Os12g01090,HORVU.MOREX.r3.4HG0397900,AT3G55590
4842190at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb257490,Transmembrane amino acid transporter family protein,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020);organelle membrane(GO:0031090),Zm00001eb257490,,LOC_Os12g05740,HORVU.MOREX.r3.2HG0102700,AT5G15240
16345at3193,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb105040,Trehalose 6-phosphate phosphatase,trehalose-phosphatase activity(GO:0004805);hydrolase activity(GO:0016787),trehalose biosynthetic process(GO:0005992),,Zm00001eb105040;Zm00001eb194210;Zm00001eb249690,,LOC_Os07g04850,HORVU.MOREX.r3.6HG0614370,AT1G35910;AT5G51460
640662at3193,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb276250,Uncharacterized protein,,,,Zm00001eb276250;Zm00001eb330530;Zm00001eb395060,,LOC_Os04g06510;LOC_Os12g01120,HORVU.MOREX.r3.2HG0112720,AT1G14540;AT5G58390
5015019at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb160380,Beta-galactosidase,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-galactosidase activity(GO:0004565);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246)",carbohydrate metabolic process(GO:0005975);plant-type cell wall modification(GO:0009827);galactose catabolic process(GO:0019388),vacuole(GO:0005773);plant-type cell wall(GO:0009505);apoplast(GO:0048046),Zm00001eb160380,SORBI_3002G279900;SORBI_3003G374100,,HORVU.MOREX.r3.1HG0066860,AT4G36360
4285218at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb106450,Histone H2A,DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982),heterochromatin formation(GO:0031507),nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694),Zm00001eb106450;Zm00001eb106460,SORBI_3002G329900;SORBI_3002G330000,,HORVU.MOREX.r3.4HG0338210,AT1G54690;AT3G20670;AT5G54640
