GeneID,Species,Orthogroups,Matched_Maize_NRT_genes,Phenotypes_present,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
AT1G12110,Arabidopsis,627237at2759; 629188at33090; 678476at3193,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT1G18880,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT1G32450,Arabidopsis,431403at3193; 627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT1G52190,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT1G59740,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT1G68570,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT2G02040,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT2G37900,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT2G40460,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT3G21670,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT3G45660,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT3G45680,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT5G46050,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
AT5G62680,Arabidopsis,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.1HG0005090,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.1HG0041600,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.2HG0102130,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.2HG0177940,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.3HG0228230,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.3HG0231720,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.3HG0299050,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.4HG0334860,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.4HG0338080,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.4HG0411460,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.5HG0420230,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.5HG0510530,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
HORVU.MOREX.r3.7HG0715890,Barley,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
SORBI_3001G032000,Sorghum,627237at2759; 629188at33090,Zm00001eb023610;Zm00001eb046210;Zm00001eb053220;Zm00001eb082170;Zm00001eb112180;Zm00001eb126980;Zm00001eb152390;Zm00001eb162570;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb335710;Zm00001eb342280;Zm00001eb371840,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,1,1
