Orthogroup,Gene_count,Species_present,Maize_example_gene,Putative_function_from_maize_annotation,GO_MF,GO_BP,GO_CC,Maize_gene,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
168202at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb073810,Argonaute1c,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521),regulatory ncRNA-mediated gene silencing(GO:0031047),nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb073810;Zm00001eb297760;Zm00001eb430920,SORBI_3009G003700,,HORVU.MOREX.r3.7HG0750280,AT5G43810
3402248at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb073810,Argonaute1c,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521),regulatory ncRNA-mediated gene silencing(GO:0031047),nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb073810;Zm00001eb297760;Zm00001eb430920,SORBI_3009G003700,,HORVU.MOREX.r3.7HG0750280,AT5G43810
648775at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb073810,Argonaute1c,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521),regulatory ncRNA-mediated gene silencing(GO:0031047),nucleus(GO:0005634);cytoplasm(GO:0005737),Zm00001eb073810,SORBI_3009G003700,,HORVU.MOREX.r3.7HG0750280,AT5G43810
4999782at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb125810,BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein,glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),,membrane(GO:0016020),Zm00001eb125810,SORBI_3001G240100,,HORVU.MOREX.r3.4HG0387580,AT3G15350
621821at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb125810,BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein,glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),,membrane(GO:0016020),Zm00001eb125810,SORBI_3001G240100,,HORVU.MOREX.r3.4HG0387580,AT3G15350
787554at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb117300,Calcium-dependent protein kinase 20,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872),intracellular signal transduction(GO:0035556),nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020),Zm00001eb117300;Zm00001eb150340;Zm00001eb190570;Zm00001eb322620,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G51850;AT4G09570;AT5G66210
159147at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb030420,Calcium-transporting ATPase,nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);membrane(GO:0016020),Zm00001eb030420,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640,AT5G57110
4755763at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb030420,Calcium-transporting ATPase,nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);membrane(GO:0016020),Zm00001eb030420;Zm00001eb051470,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640,AT5G57110
787791at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb030420,Calcium-transporting ATPase,nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);membrane(GO:0016020),Zm00001eb030420;Zm00001eb051470,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640,AT5G57110
4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb084910,Carboxypeptidase,carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),extracellular region(GO:0005576),Zm00001eb084910;Zm00001eb113170;Zm00001eb329580,SORBI_3002G229100;SORBI_3006G058000,,HORVU.MOREX.r3.6HG0623790,AT3G02110
630100at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb084910,Carboxypeptidase,carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),extracellular region(GO:0005576),Zm00001eb084910;Zm00001eb113170;Zm00001eb329580,SORBI_3002G229100;SORBI_3006G058000,,HORVU.MOREX.r3.6HG0623790,AT3G02110
651258at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb244120,Chloride channel protein,voltage-gated chloride channel activity(GO:0005247);chloride channel activity(GO:0005254);chloride transmembrane transporter activity(GO:0015108);transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476),plant-type vacuole membrane(GO:0009705);membrane(GO:0016020);monoatomic ion channel complex(GO:0034702);chloride channel complex(GO:0034707),Zm00001eb244120,SORBI_3003G374400,,HORVU.MOREX.r3.2HG0205400,AT3G27170
804748at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb244120,Chloride channel protein,voltage-gated chloride channel activity(GO:0005247);chloride channel activity(GO:0005254);chloride transmembrane transporter activity(GO:0015108);transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476),plant-type vacuole membrane(GO:0009705);membrane(GO:0016020);monoatomic ion channel complex(GO:0034702);chloride channel complex(GO:0034707),Zm00001eb244120,SORBI_3003G374400,,HORVU.MOREX.r3.2HG0205400,AT3G27170
