Orthogroup,Gene_count,Species_present,Maize_example_gene,Putative_function_from_maize_annotation,GO_MF,GO_BP,GO_CC,Maize_gene,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb001560,Peroxidase,peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825),response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869),extracellular region(GO:0005576);plant-type cell wall(GO:0009505),Zm00001eb001560;Zm00001eb022050;Zm00001eb058260;Zm00001eb102470;Zm00001eb138700;Zm00001eb194740;Zm00001eb207640;Zm00001eb251340;Zm00001eb291850;Zm00001eb330580;Zm00001eb390710;Zm00001eb395060,,LOC_Os05g01620,HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.6HG0546360,AT1G14540;AT1G49570;AT2G24800;AT3G17070;AT5G06720;AT5G58390
4809112at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb151650,Purple acid phosphatase,acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),cellular response to phosphate starvation(GO:0016036),plant-type cell wall(GO:0009505),Zm00001eb151650,,LOC_Os12g01510,HORVU.MOREX.r3.5HG0459970;HORVU.MOREX.r3.5HG0460010,AT1G56360;AT3G20500
2690913at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb164580,Putative DUF231 domain containing family protein,O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538),,Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794),Zm00001eb164580;Zm00001eb193280;Zm00001eb321890;Zm00001eb426260,,LOC_Os04g05080,HORVU.MOREX.r3.7HG0719410,AT5G06230;AT5G19160
599360at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb145670,Amino acid permease 2,amino acid transmembrane transporter activity(GO:0015171);symporter activity(GO:0015293),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),plasma membrane(GO:0005886);membrane(GO:0016020),Zm00001eb145670;Zm00001eb384590;Zm00001eb408430,SORBI_3007G087400,,HORVU.MOREX.r3.3HG0307240;HORVU.MOREX.r3.3HG0307250,AT1G58360
4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb076810,Carboxypeptidase,carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),,Zm00001eb076810;Zm00001eb257750,SORBI_3003G062800;SORBI_3003G062900,,HORVU.MOREX.r3.1HG0019330;HORVU.MOREX.r3.2HG0183080,AT3G17180;AT4G30610;AT4G30810
591574at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb275630,Potassium transporter,potassium ion transmembrane transporter activity(GO:0015079),monoatomic ion transport(GO:0006811);potassium ion transport(GO:0006813);potassium ion transmembrane transport(GO:0071805),membrane(GO:0016020),Zm00001eb275630;Zm00001eb330610;Zm00001eb430810,SORBI_3006G213500,,HORVU.MOREX.r3.3HG0312690,AT1G31120;AT1G60160;AT2G40540
627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb046210,Protein NRT1_ PTR FAMILY 5.2,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020),Zm00001eb046210;Zm00001eb180070;Zm00001eb222030;Zm00001eb245250;Zm00001eb251130;Zm00001eb289290;Zm00001eb304390;Zm00001eb342280,SORBI_3007G044300,,HORVU.MOREX.r3.3HG0231720;HORVU.MOREX.r3.3HG0299050;HORVU.MOREX.r3.4HG0411460,AT1G12110;AT1G32450;AT1G68570;AT2G37900;AT2G40460;AT3G21670;AT3G45680
643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb016040,Putative LRR receptor-like serine_threonine-protein kinase IRK,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301),,plasma membrane(GO:0005886),Zm00001eb016040;Zm00001eb046220;Zm00001eb066630;Zm00001eb153630;Zm00001eb290670;Zm00001eb303060;Zm00001eb384580;Zm00001eb403550;Zm00001eb428530,SORBI_3003G052100,,HORVU.MOREX.r3.3HG0231730;HORVU.MOREX.r3.5HG0489130;HORVU.MOREX.r3.5HG0513800;HORVU.MOREX.r3.6HG0543250,AT1G17750;AT2G02220
516269at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb093490,Integral membrane protein like,UDP-galactose transmembrane transporter activity(GO:0005459);antiporter activity(GO:0015297),transmembrane transport(GO:0055085);UDP-galactose transmembrane transport(GO:0072334),Golgi apparatus(GO:0005794);membrane(GO:0016020),Zm00001eb093490;Zm00001eb260190,SORBI_3005G022100,LOC_Os07g05810,,AT5G57100
628161at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb058150,Subtilisin-like protease,serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787),proteolysis(GO:0006508);system development(GO:0048731),extracellular region(GO:0005576),Zm00001eb058150;Zm00001eb103410;Zm00001eb193100;Zm00001eb305600;Zm00001eb316180,SORBI_3002G274000,LOC_Os09g04410,,AT2G05920
4854762at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb349510,EamA domain-containing protein,,,,Zm00001eb349510,SORBI_3001G334200,LOC_Os09g04260,HORVU.MOREX.r3.3HG0219290;HORVU.MOREX.r3.3HG0220930,
