GeneID,GeneName,Species,Phenotypes_present,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index,GO_MF,GO_BP,GO_CC
Zm00001eb023610,Protein NRT1_ PTR FAMILY 6.3,Maize,AM_roots_colonized,,,,,,,Yes,,nitrate transmembrane transporter activity(GO:0015112);transmembrane transporter activity(GO:0022857),oligopeptide transport(GO:0006857);response to nitrate(GO:0010167);nitrate transmembrane transport(GO:0015706);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb046210,Protein NRT1_ PTR FAMILY 5.2,Maize,AM_rel_abundance_colonization; AM_roots_colonized; aridity_index,,,,,,Yes,Yes,Yes,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb053220,Protein NRT1_ PTR FAMILY 2.9,Maize,aridity_index; pH; soilN,,,,Yes,Yes,,,Yes,,,
Zm00001eb082170,Protein NRT1_ PTR FAMILY 4.4,Maize,PC3,,,Yes,,,,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb112180,Protein NRT1_ PTR FAMILY 4.4,Maize,PC3,,,Yes,,,,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb126980,Protein NRT1_ PTR FAMILY 6.1,Maize,PC1; PC2; PC3; aridity_index,Yes,Yes,Yes,,,,,Yes,transmembrane transporter activity(GO:0022857),oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb152390,Peptide transporter PTR2,Maize,AM_roots_colonized,,,,,,,Yes,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb162570,Protein NRT1_ PTR FAMILY 6.2,Maize,PC2,,Yes,,,,,,,transmembrane transporter activity(GO:0022857),oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb180070,Protein NRT1_ PTR FAMILY 1.2,Maize,AM_rel_abundance_colonization,,,,,,Yes,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb222030,Protein NRT1_ PTR FAMILY 5.2,Maize,AM_rel_abundance_colonization,,,,,,Yes,,,transmembrane transporter activity(GO:0022857);tripeptide transmembrane transporter activity(GO:0042937);dipeptide transmembrane transporter activity(GO:0071916),dipeptide transmembrane transport(GO:0035442);dipeptide transport(GO:0042938);tripeptide transport(GO:0042939);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb245250,Protein NRT1_ PTR FAMILY 6.4,Maize,AM_rel_abundance_colonization,,,,,,Yes,,,nitrate transmembrane transporter activity(GO:0015112);transmembrane transporter activity(GO:0022857),response to nitrate(GO:0010167);nitrate transmembrane transport(GO:0015706);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb251130,Protein NRT1_ PTR FAMILY 7.2,Maize,AM_rel_abundance_colonization; PC2; pH,,Yes,,Yes,,Yes,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb289290,Protein NRT1_ PTR FAMILY 5.10,Maize,AM_rel_abundance_colonization; PC3; pH,,,Yes,Yes,,Yes,,,transmembrane transporter activity(GO:0022857);tripeptide transmembrane transporter activity(GO:0042937);dipeptide transmembrane transporter activity(GO:0071916);low-affinity nitrate transmembrane transporter activity(GO:0080054),oligopeptide transport(GO:0006857);nitrate transmembrane transport(GO:0015706);dipeptide transmembrane transport(GO:0035442);dipeptide transport(GO:0042938);tripeptide transport(GO:0042939);transmembrane transport(GO:0055085),plant-type vacuole membrane(GO:0009705);membrane(GO:0016020)
Zm00001eb304390,Protein NRT1_ PTR FAMILY 7.2,Maize,AM_rel_abundance_colonization; PC2; PC3,,Yes,Yes,,,Yes,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb335710,Protein NRT1_ PTR FAMILY 8.1,Maize,AM_roots_colonized,,,,,,,Yes,,transmembrane transporter activity(GO:0022857),oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb342280,Protein NRT1_ PTR FAMILY 6.2,Maize,AM_rel_abundance_colonization,,,,,,Yes,,,transmembrane transporter activity(GO:0022857),oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb371840,Protein NRT1_ PTR FAMILY 5.8,Maize,PC2; pH,,Yes,,Yes,,,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
