,AT_PC1,AT_PC2,AT_PC3,AT_ph,AT_cec,AT_maprecip,AT_matemp,AT_am_roots_colonized,AT_am_rel_abundance_colonization,T_soilN
88,-1.628343453,1.59239929,-1.50320777,63,287,674,11.82916641,NA,NA,539
108,-5.114514384,-0.024134051,-0.53828149,61,285,1078,11.10000038,NA,NA,516
139,-5.114514384,-0.024134051,-0.53828149,61,285,1078,11.10000038,NA,NA,516
159,-1.752342906,-0.848116561,-0.994354263,63,321,833,9.324999809,0.259354115,0.61393708,788
265,-3.855294212,1.551423926,0.425032897,NA,NA,946,12.96249962,NA,NA,NA
350,-0.951273401,-0.031762731,0.023947604,60,348,789,10.72083282,0.259354115,0.61393708,551
351,-0.951273401,-0.031762731,0.023947604,60,348,789,10.72083282,0.259354115,0.61393708,551
403,1.454573012,-0.310823428,-0.584246282,58,258,540,7.804166794,0.108668901,0.595904589,605
410,1.421670975,-0.239276643,-0.657666545,54,263,559,7.941666603,0.108668901,0.595904589,653
424,1.454573012,-0.310823428,-0.584246282,64,277,559,7.395833492,0.108668901,0.595904589,556
428,1.454573012,-0.310823428,-0.584246282,66,260,562,7.345833302,0.108668901,0.595904589,669
430,0.244960264,-0.777332734,2.021846672,NA,NA,846,9.041666985,NA,NA,NA
470,1.775761181,-0.680667047,4.042834367,66,243,974,10.16666698,NA,NA,895
476,1.775761181,-0.680667047,4.042834367,66,243,974,10.16666698,NA,NA,895
484,1.775761181,-0.680667047,4.042834367,66,243,974,10.16666698,NA,NA,895
504,1.775761181,-0.680667047,4.042834367,66,243,974,10.16666698,NA,NA,895
506,1.775761181,-0.680667047,4.042834367,66,243,974,10.16666698,NA,NA,895
531,1.775761181,-0.680667047,4.042834367,66,243,974,10.16666698,NA,NA,895
544,-1.878678299,-1.432686238,2.654220533,NA,NA,1098,11.1833334,NA,NA,NA
546,-1.878678299,-1.432686238,2.654220533,NA,NA,1098,11.1833334,NA,NA,NA
628,-1.938931673,-1.209635472,2.09565589,46,374,1069,11.14583302,NA,NA,975
630,-1.938931673,-1.209635472,2.09565589,46,374,1069,11.14583302,NA,NA,975
680,-1.887394016,-1.420761916,2.609733734,48,313,1104,10.89999962,NA,NA,855
681,-1.887394016,-1.420761916,2.609733734,48,313,1104,10.89999962,NA,NA,855
685,-1.830989335,-1.359623793,2.622366373,52,324,1093,10.97083282,NA,NA,827
687,-1.830989335,-1.359623793,2.622366373,52,324,1093,10.97083282,NA,NA,827
