"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"PI526387",29.7,-16.8,"pearl_millet",4015,0.4015
"PI526339",32.16666667,-18.7,"pearl_millet",4638,0.4638
"PI526300",31.88333333,-19.28333333,"pearl_millet",2887,0.2887
"PI526301",31.88333333,-19.28333333,"pearl_millet",2887,0.2887
"PI526302",31.88333333,-19.28333333,"pearl_millet",2887,0.2887
"PI526303",31.88333333,-19.28333333,"pearl_millet",2887,0.2887
"PI526304",31.88333333,-19.28333333,"pearl_millet",2887,0.2887
"PI526305",31.88333333,-19.28333333,"pearl_millet",2887,0.2887
"PI526277",31.45,-19.33333333,"pearl_millet",3770,0.377
"PI526278",31.45,-19.33333333,"pearl_millet",3770,0.377
"PI526279",31.45,-19.33333333,"pearl_millet",3770,0.377
"PI526280",31.45,-19.33333333,"pearl_millet",3770,0.377
"PI526281",31.45,-19.33333333,"pearl_millet",3770,0.377
"PI526282",31.45,-19.33333333,"pearl_millet",3770,0.377
"PI526283",31.45,-19.38333333,"pearl_millet",3620,0.362
"PI526285",31.45,-19.38333333,"pearl_millet",3620,0.362
"PI526286",31.45,-19.38333333,"pearl_millet",3620,0.362
"PI526272",31.58333333,-19.41666667,"pearl_millet",3298,0.3298
"PI526273",31.58333333,-19.41666667,"pearl_millet",3298,0.3298
"PI526274",31.58333333,-19.41666667,"pearl_millet",3298,0.3298
"PI526275",31.58333333,-19.41666667,"pearl_millet",3298,0.3298
"PI526276",31.58333333,-19.41666667,"pearl_millet",3298,0.3298
"PI526313",31.75,-19.43333333,"pearl_millet",3153,0.3153
"PI526314",31.75,-19.43333333,"pearl_millet",3153,0.3153
"PI526315",31.75,-19.46666667,"pearl_millet",3106,0.3106
"PI526293",31.63333333,-19.5,"pearl_millet",3079,0.3079
"PI526294",31.63333333,-19.5,"pearl_millet",3079,0.3079
"PI526295",31.63333333,-19.5,"pearl_millet",3079,0.3079
"PI526270",31.8,-19.5,"pearl_millet",2965,0.2965
"PI526271",31.8,-19.5,"pearl_millet",2965,0.2965
"PI526296",31.63333333,-19.51666667,"pearl_millet",3060,0.306
"PI526297",31.63333333,-19.51666667,"pearl_millet",3060,0.306
"PI526298",31.63333333,-19.51666667,"pearl_millet",3060,0.306
"PI526299",31.63333333,-19.51666667,"pearl_millet",3060,0.306
"PI526337",31.21666667,-19.63333333,"pearl_millet",3840,0.384
"PI526287",31.5,-19.63333333,"pearl_millet",3213,0.3213
"PI526288",31.5,-19.63333333,"pearl_millet",3213,0.3213
"PI526289",31.5,-19.63333333,"pearl_millet",3213,0.3213
"PI526290",31.5,-19.63333333,"pearl_millet",3213,0.3213
"PI526292",31.58333333,-19.63333333,"pearl_millet",3226,0.3226
"PI526291",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526340",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526341",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526342",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526343",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526344",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526345",31.8,-19.71666667,"pearl_millet",2908,0.2908
"PI526268",30.78333333,-19.88333333,"pearl_millet",3255,0.3255
