"species","snp","chr","pos","p","logp","p_cutoff","cutoff_logp","bonf_cutoff","bonf_logp"
"Arabidopsis","Chr5_22673647.0","5",22673647,3.107334e-26,25.5076120629469,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22673698.0","5",22673698,3.107334e-26,25.5076120629469,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22679551.0","5",22679551,1.757064e-23,22.7552124193012,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr3_7040324.0","3",7040324,8.98878e-22,21.0462992487809,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr3_7042430.0","3",7042430,8.98878e-22,21.0462992487809,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22679225.0","5",22679225,3.178534e-21,20.4977731386669,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22679228.0","5",22679228,3.178534e-21,20.4977731386669,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22679461.0","5",22679461,3.178534e-21,20.4977731386669,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22679536.0","5",22679536,3.178534e-21,20.4977731386669,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr5_22679540.0","5",22679540,3.178534e-21,20.4977731386669,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr1_5057186.0","1",5057186,1.572931e-20,19.80329032822,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr1_15136663.0","1",15136663,1.9767e-20,19.7040592377328,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
"Arabidopsis","Chr1_9333150.0","1",9333150,6.5293e-20,19.1851333765247,0.0003897957,3.40916295607672,1.51687615737651e-08,7.81904987495717
