species,gene,pvalue
Arabidopsis,AT4G21410,2.018749e-11
Arabidopsis,AT2G15500,1.178807e-09
Arabidopsis,AT4G09760,5.150257e-09
Arabidopsis,AT5G37667,5.953504e-09
Arabidopsis,AT2G36640,3.637627e-08
Arabidopsis,AT2G46480,4.376087e-08
Arabidopsis,AT3G42670,8.485931e-08
Arabidopsis,AT4G36270,1.03727e-07
Arabidopsis,AT3G25900,1.13799e-07
Arabidopsis,AT2G36660,1.195381e-07
Arabidopsis,AT3G21540,1.366264e-07
Arabidopsis,AT1G70440,1.56971e-07
Arabidopsis,AT3G19370,1.586938e-07
Arabidopsis,AT3G19440,1.586938e-07
Arabidopsis,AT3G19470,1.586938e-07
Arabidopsis,AT3G19480,1.586938e-07
Arabidopsis,AT3G19570,1.586938e-07
Arabidopsis,AT3G19580,1.586938e-07
Arabidopsis,AT3G21060,1.680688e-07
Arabidopsis,AT5G10740,1.840634e-07
Arabidopsis,AT5G05120,2.028891e-07
Arabidopsis,AT5G05130,2.028891e-07
Arabidopsis,AT5G01190,2.576777e-07
Arabidopsis,AT1G01830,2.67136e-07
Arabidopsis,AT5G26950,3.056806e-07
Arabidopsis,AT1G64110,3.059586e-07
Arabidopsis,AT3G19490,3.137628e-07
Arabidopsis,AT1G05420,3.317456e-07
Arabidopsis,AT5G01330,3.319896e-07
Arabidopsis,AT1G51770,3.371961e-07
Arabidopsis,AT3G15470,3.454807e-07
Arabidopsis,AT3G57580,3.676607e-07
Arabidopsis,AT1G45050,4.143555e-07
Arabidopsis,AT3G20280,4.44634e-07
Arabidopsis,AT5G01225,4.494814e-07
Arabidopsis,AT1G74470,4.638845e-07
Arabidopsis,AT5G10730,4.743545e-07
Arabidopsis,AT3G54530,5.148977e-07
Arabidopsis,AT5G27980,5.167109e-07
Arabidopsis,AT5G38270,5.173532e-07
Arabidopsis,AT1G74453,5.417609e-07
Arabidopsis,AT2G36560,5.979327e-07
Arabidopsis,AT2G18300,6.040296e-07
Arabidopsis,AT3G13855,6.230994e-07
Arabidopsis,AT3G59080,7.116919e-07
Arabidopsis,AT5G07250,7.316899e-07
Arabidopsis,AT1G51630,7.633895e-07
Arabidopsis,AT4G25500,8.265959e-07
Arabidopsis,AT4G25515,8.265959e-07
Arabidopsis,AT4G25520,8.265959e-07
Arabidopsis,AT4G25540,8.265959e-07
Arabidopsis,AT4G25550,8.265959e-07
Arabidopsis,AT4G25560,8.265959e-07
Arabidopsis,AT4G25580,8.265959e-07
Arabidopsis,AT4G25590,8.265959e-07
Arabidopsis,AT4G25650,8.265959e-07
Arabidopsis,AT3G23510,8.578126e-07
Arabidopsis,AT2G46490,1.143804e-06
Arabidopsis,AT2G44280,1.300231e-06
Arabidopsis,AT4G25660,1.37598e-06
Arabidopsis,AT2G46450,1.392389e-06
Arabidopsis,AT5G06839,1.421277e-06
Arabidopsis,AT5G45980,1.459217e-06
Arabidopsis,AT3G19515,1.512724e-06
Arabidopsis,AT5G05190,1.561283e-06
Arabidopsis,AT2G46440,1.596364e-06
Arabidopsis,AT5G64850,1.673454e-06
Arabidopsis,AT5G66562,1.756701e-06
Arabidopsis,AT5G66564,1.756701e-06
Arabidopsis,AT4G15093,1.875238e-06
