species,gene,pvalue
Arabidopsis,AT4G21410,1.414694e-10
Arabidopsis,AT2G42005,1.39993e-09
Arabidopsis,AT2G15560,1.444739e-09
Arabidopsis,AT3G50280,6.091028e-09
Arabidopsis,AT4G15570,7.774505e-09
Arabidopsis,AT1G07650,7.996848e-09
Arabidopsis,AT2G42440,1.519382e-08
Arabidopsis,AT3G50250,2.240786e-08
Arabidopsis,AT3G50270,2.240786e-08
Arabidopsis,AT2G16900,3.036707e-08
Arabidopsis,AT2G42425,3.333179e-08
Arabidopsis,AT2G32670,4.265148e-08
Arabidopsis,AT2G42460,9.969663e-08
Arabidopsis,AT1G45010,1.190036e-07
Arabidopsis,AT4G15563,1.346953e-07
Arabidopsis,AT2G15530,1.442968e-07
Arabidopsis,AT4G00490,1.81967e-07
Arabidopsis,AT4G15640,1.877093e-07
Arabidopsis,AT2G15500,2.228198e-07
Arabidopsis,AT4G02380,2.28663e-07
Arabidopsis,AT2G42330,3.500267e-07
Arabidopsis,AT2G42490,3.570086e-07
Arabidopsis,AT4G04632,3.674233e-07
Arabidopsis,AT2G42390,4.049801e-07
Arabidopsis,AT2G42400,4.049801e-07
Arabidopsis,AT2G42350,4.533974e-07
Arabidopsis,AT2G42365,4.533974e-07
Arabidopsis,AT3G18952,4.645656e-07
Arabidopsis,AT4G04870,5.351933e-07
Arabidopsis,AT3G52560,5.850534e-07
Arabidopsis,AT3G50130,5.917995e-07
Arabidopsis,AT2G34710,6.995982e-07
Arabidopsis,AT3G44090,8.763384e-07
Arabidopsis,AT2G42410,9.903678e-07
Arabidopsis,AT1G03830,1.022164e-06
Arabidopsis,AT2G42530,1.090639e-06
Arabidopsis,AT2G20050,1.111335e-06
Arabidopsis,AT3G50150,1.388687e-06
Arabidopsis,AT3G50170,1.388687e-06
Arabidopsis,AT4G09760,1.399673e-06
Arabidopsis,AT2G42170,1.48361e-06
Arabidopsis,AT1G17940,1.58424e-06
Arabidopsis,AT2G46630,1.695206e-06
Arabidopsis,AT4G15650,1.818803e-06
Arabidopsis,AT2G42110,1.833166e-06
Arabidopsis,AT1G56020,2.075352e-06
Arabidopsis,AT1G04340,2.190508e-06
Arabidopsis,AT2G01930,2.320315e-06
Arabidopsis,AT2G42280,2.435595e-06
Arabidopsis,AT3G25020,2.448266e-06
Arabidopsis,AT1G02310,2.465342e-06
Arabidopsis,AT5G26667,2.747976e-06
Arabidopsis,AT2G01090,2.888431e-06
Arabidopsis,AT1G47580,3.244531e-06
Arabidopsis,AT4G15620,3.389596e-06
Arabidopsis,AT2G01990,3.474531e-06
Arabidopsis,AT3G44171,3.97628e-06
Arabidopsis,AT2G32720,4.034553e-06
Arabidopsis,AT2G01175,4.096415e-06
Arabidopsis,AT2G01080,4.136892e-06
Arabidopsis,AT2G01970,4.644543e-06
Arabidopsis,AT2G26310,4.715759e-06
Arabidopsis,AT3G44060,5.032917e-06
Arabidopsis,AT4G15610,5.049124e-06
Arabidopsis,AT2G46480,5.476211e-06
Arabidopsis,AT2G15570,5.676744e-06
Arabidopsis,AT5G05120,5.72704e-06
Arabidopsis,AT5G05130,5.72704e-06
Arabidopsis,AT3G43490,5.959169e-06
Arabidopsis,AT2G47460,6.171118e-06
Arabidopsis,AT3G21530,6.171486e-06
Arabidopsis,AT2G31580,6.528673e-06
Arabidopsis,AT1G79520,6.725652e-06
Arabidopsis,AT1G79580,6.725652e-06
Arabidopsis,AT1G79630,6.725652e-06
Arabidopsis,AT1G79640,6.725652e-06
Arabidopsis,AT3G44160,6.821625e-06
Arabidopsis,AT5G01500,6.825877e-06
Arabidopsis,AT3G45440,6.868456e-06
Arabidopsis,AT3G45443,6.868456e-06
Arabidopsis,AT1G12411,6.979247e-06
Arabidopsis,AT1G12423,7.03353e-06
Arabidopsis,AT4G38870,7.265227e-06
Arabidopsis,AT4G38900,7.265227e-06
Arabidopsis,AT3G13898,7.411178e-06
Arabidopsis,AT3G43270,8.131822e-06
Arabidopsis,AT5G24352,8.419499e-06
Arabidopsis,AT1G79550,8.781017e-06
Arabidopsis,AT1G79570,8.781017e-06
Arabidopsis,AT5G44430,9.339256e-06
Arabidopsis,AT1G12480,9.54412e-06
Arabidopsis,AT1G02620,9.642929e-06
Arabidopsis,AT4G05530,9.87289e-06
Arabidopsis,AT2G42320,1.089232e-05
Arabidopsis,AT2G44280,1.139438e-05
Arabidopsis,AT3G45410,1.139628e-05
Arabidopsis,AT3G43980,1.237158e-05
Arabidopsis,AT4G09980,1.341771e-05
Arabidopsis,AT3G43260,1.37024e-05
Arabidopsis,AT2G01060,1.374077e-05
Arabidopsis,AT5G07230,1.376475e-05
Arabidopsis,AT3G13855,1.431943e-05
Arabidopsis,AT5G33439,1.446346e-05
Arabidopsis,AT5G01440,1.495019e-05
Arabidopsis,AT1G12420,1.51968e-05
Arabidopsis,AT2G31570,1.550281e-05
Arabidopsis,AT5G43190,1.552787e-05
Arabidopsis,AT3G21270,1.628037e-05
Arabidopsis,AT3G25030,1.659829e-05
Arabidopsis,AT1G59600,1.664185e-05
Arabidopsis,AT2G32590,1.681097e-05
Arabidopsis,AT2G32600,1.681097e-05
Arabidopsis,AT4G39660,1.725799e-05
Arabidopsis,AT2G26180,1.825306e-05
