Phenotype,Orthogroup,Gene_count,Maize_gene,Maize_pvalue_max,Sorghum_gene,Sorghum_pvalue_max,Rice_gene,Rice_pvalue_max,Barley_gene,Barley_pvalue_max,Arabidopsis_gene,Arabidopsis_pvalue_max
pH,158457at33090,5,Zm00001eb277700;Zm00001eb401400,Zm00001eb277700:0.00135907;Zm00001eb401400:0.00257174,SORBI_3009G003800,SORBI_3009G003800:0.000520951,LOC_Os01g07500,LOC_Os01g07500:0.000300324,HORVU.MOREX.r3.1HG0002320;HORVU.MOREX.r3.5HG0471130,HORVU.MOREX.r3.1HG0002320:0.00253353;HORVU.MOREX.r3.5HG0471130:0.00166551,AT1G16920;AT5G47960,AT1G16920:0.00390351;AT5G47960:0.00358899
pH,4495752at2759,5,Zm00001eb166100;Zm00001eb195100;Zm00001eb254960;Zm00001eb368580;Zm00001eb384970,Zm00001eb166100:0.00463332;Zm00001eb195100:0.000797974;Zm00001eb254960:0.000641175;Zm00001eb368580:0.000753721;Zm00001eb384970:0.00119151,SORBI_3003G341500,SORBI_3003G341500:0.0029036,LOC_Os07g01010,LOC_Os07g01010:0.00128816,HORVU.MOREX.r3.5HG0465270;HORVU.MOREX.r3.7HG0667290,HORVU.MOREX.r3.5HG0465270:0.00150132;HORVU.MOREX.r3.7HG0667290:0.00277854,AT2G38080;AT4G39830;AT5G03260;AT5G60020,AT2G38080:0.00312849;AT4G39830:0.00300513;AT5G03260:0.00103895;AT5G60020:0.00139275
pH,640662at2759,5,Zm00001eb067730;Zm00001eb068210;Zm00001eb118090;Zm00001eb280790;Zm00001eb291850;Zm00001eb390710,Zm00001eb067730:0.00036629;Zm00001eb068210:0.000270385;Zm00001eb118090:0.00379656;Zm00001eb280790:0.00414539;Zm00001eb291850:0.00337931;Zm00001eb390710:0.00389182,SORBI_3001G314000;SORBI_3003G320800,SORBI_3001G314000:0.00135056;SORBI_3003G320800:0.000491878,LOC_Os05g01620;LOC_Os08g03020,LOC_Os05g01620:0.00100178;LOC_Os08g03020:0.000187833,HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.6HG0618250,HORVU.MOREX.r3.1HG0054280:0.00134203;HORVU.MOREX.r3.2HG0112720:0.000298442;HORVU.MOREX.r3.6HG0618250:0.000478683,AT3G17070;AT4G30170;AT5G06720;AT5G15180,AT3G17070:0.00237657;AT4G30170:0.00329011;AT5G06720:0.000278013;AT5G15180:0.00188721
pH,128682at3193,4,Zm00001eb185130,Zm00001eb185130:0.00381122,SORBI_3001G219400;SORBI_3009G170100,SORBI_3001G219400:0.000962257;SORBI_3009G170100:0.00107021,LOC_Os10g04780,LOC_Os10g04780:6.0464e-06,,,AT1G07090;AT5G28490,AT1G07090:0.00384916;AT5G28490:0.00103263
pH,131670at33090,4,Zm00001eb146720;Zm00001eb292770,Zm00001eb146720:0.00435993;Zm00001eb292770:0.00296989,SORBI_3005G047300,SORBI_3005G047300:0.00218964,LOC_Os04g06879,LOC_Os04g06879:0.000173593,HORVU.MOREX.r3.1HG0075890,HORVU.MOREX.r3.1HG0075890:0.00128199,,
pH,159147at3193,4,Zm00001eb430440,Zm00001eb430440:0.00391178,SORBI_3003G420500,SORBI_3003G420500:0.000107824,,,HORVU.MOREX.r3.5HG0492640;HORVU.MOREX.r3.7HG0682170,HORVU.MOREX.r3.5HG0492640:0.00010523;HORVU.MOREX.r3.7HG0682170:0.0018589,AT1G27770;AT5G57110,AT1G27770:0.00233632;AT5G57110:0.0025171
pH,168202at33090,4,Zm00001eb217290;Zm00001eb332830;Zm00001eb428910;Zm00001eb430920,Zm00001eb217290:0.00344434;Zm00001eb332830:0.00367109;Zm00001eb428910:0.000838761;Zm00001eb430920:0.000714533,SORBI_3009G003700,SORBI_3009G003700:0.000520951,,,HORVU.MOREX.r3.2HG0190470;HORVU.MOREX.r3.7HG0750280,HORVU.MOREX.r3.2HG0190470:0.000139195;HORVU.MOREX.r3.7HG0750280:0.000126365,AT5G21150,AT5G21150:0.00243535
pH,1873865at2759,4,Zm00001eb038960,Zm00001eb038960:0.00239219,SORBI_3003G128800,SORBI_3003G128800:0.00152453,LOC_Os03g08220,LOC_Os03g08220:0.0012796,,,AT2G28950;AT2G40610;AT4G01630;AT5G02260,AT2G28950:0.00350046;AT2G40610:0.00349111;AT4G01630:0.00333444;AT5G02260:0.00224216
pH,194710at2759,4,Zm00001eb036270,Zm00001eb036270:0.00464136,SORBI_3004G174200,SORBI_3004G174200:0.00228901,,,HORVU.MOREX.r3.3HG0280890,HORVU.MOREX.r3.3HG0280890:0.00142246,AT2G47250,AT2G47250:0.0026786
pH,2225058at2759,4,Zm00001eb205090,Zm00001eb205090:0.000621666,SORBI_3003G198900;SORBI_3005G007900,SORBI_3003G198900:0.00066159;SORBI_3005G007900:0.00254859,,,HORVU.MOREX.r3.1HG0061140;HORVU.MOREX.r3.2HG0159620,HORVU.MOREX.r3.1HG0061140:0.00123899;HORVU.MOREX.r3.2HG0159620:0.00147651,AT5G36250,AT5G36250:0.00291913
pH,2467431at2759,4,,,SORBI_3001G187000,SORBI_3001G187000:0.00184063,LOC_Os03g01320,LOC_Os03g01320:0.000633468,HORVU.MOREX.r3.6HG0606110,HORVU.MOREX.r3.6HG0606110:4.97998e-05,AT4G05160,AT4G05160:0.00112232
pH,381908at2759,4,Zm00001eb038610;Zm00001eb065120;Zm00001eb275510;Zm00001eb368570,Zm00001eb038610:0.00165806;Zm00001eb065120:0.00320607;Zm00001eb275510:0.00425737;Zm00001eb368570:0.000753721,SORBI_3003G341900,SORBI_3003G341900:0.0029036,,,HORVU.MOREX.r3.2HG0198640;HORVU.MOREX.r3.6HG0539180;HORVU.MOREX.r3.7HG0650710;HORVU.MOREX.r3.7HG0650790,HORVU.MOREX.r3.2HG0198640:0.00020465;HORVU.MOREX.r3.6HG0539180:0.00267684;HORVU.MOREX.r3.7HG0650710:1.02288e-05;HORVU.MOREX.r3.7HG0650790:1.02288e-05,AT5G33370,AT5G33370:0.00379476
pH,4804397at2759,4,Zm00001eb213000;Zm00001eb281920;Zm00001eb431490,Zm00001eb213000:0.00315378;Zm00001eb281920:0.00317027;Zm00001eb431490:0.000439508,SORBI_3003G054200,SORBI_3003G054200:0.00208507,LOC_Os05g01690,LOC_Os05g01690:3.12075e-05,,,AT1G11530;AT1G45145;AT1G59730;AT2G25950,AT1G11530:0.00356783;AT1G45145:0.00340162;AT1G59730:0.00311123;AT2G25950:0.00344345
pH,4805980at2759,4,Zm00001eb076810;Zm00001eb084910;Zm00001eb336090,Zm00001eb076810:0.00215157;Zm00001eb084910:0.00149609;Zm00001eb336090:0.000666552,SORBI_3004G224700,SORBI_3004G224700:0.00129615,,,HORVU.MOREX.r3.4HG0332980;HORVU.MOREX.r3.6HG0623790,HORVU.MOREX.r3.4HG0332980:0.00225223;HORVU.MOREX.r3.6HG0623790:9.18186e-07,AT4G30610,AT4G30610:0.00246786
pH,4925035at2759,4,Zm00001eb160330,Zm00001eb160330:0.00334903,,,LOC_Os02g02910,LOC_Os02g02910:0.000546966,HORVU.MOREX.r3.6HG0626000,HORVU.MOREX.r3.6HG0626000:0.00227655,AT5G24270,AT5G24270:0.00345385
pH,5006558at2759,4,Zm00001eb189920,Zm00001eb189920:0.00283001,SORBI_3004G250900,SORBI_3004G250900:0.00132916,,,HORVU.MOREX.r3.3HG0308840;HORVU.MOREX.r3.5HG0480430,HORVU.MOREX.r3.3HG0308840:0.00161845;HORVU.MOREX.r3.5HG0480430:0.00206589,AT3G24503,AT3G24503:0.00238271
pH,588513at2759,4,Zm00001eb244600;Zm00001eb374600;Zm00001eb405800;Zm00001eb405820,Zm00001eb244600:0.00455581;Zm00001eb374600:0.00202154;Zm00001eb405800:0.00117347;Zm00001eb405820:0.00117347,SORBI_3002G204300;SORBI_3006G120000,SORBI_3002G204300:0.00161268;SORBI_3006G120000:0.000771085,,,HORVU.MOREX.r3.5HG0483030,HORVU.MOREX.r3.5HG0483030:0.00145101,AT1G03010,AT1G03010:0.00132375
pH,599299at2759,4,Zm00001eb403580,Zm00001eb403580:0.000511572,SORBI_3006G160900,SORBI_3006G160900:0.0018021,,,HORVU.MOREX.r3.2HG0184480,HORVU.MOREX.r3.2HG0184480:1.22254e-05,AT1G71930;AT5G66300,AT1G71930:0.00224802;AT5G66300:0.00226984
pH,638084at2759,4,Zm00001eb344980,Zm00001eb344980:0.00429952,SORBI_3001G026800;SORBI_3004G319600,SORBI_3001G026800:0.000539387;SORBI_3004G319600:0.00069345,,,HORVU.MOREX.r3.4HG0412200;HORVU.MOREX.r3.5HG0480580,HORVU.MOREX.r3.4HG0412200:0.0013003;HORVU.MOREX.r3.5HG0480580:0.00117012,AT3G62110,AT3G62110:0.000106767
pH,643341at2759,4,Zm00001eb040920;Zm00001eb070510;Zm00001eb073370;Zm00001eb101560;Zm00001eb149530;Zm00001eb153630;Zm00001eb167830;Zm00001eb222050;Zm00001eb228140;Zm00001eb256740;Zm00001eb290670;Zm00001eb336650;Zm00001eb362650;Zm00001eb402940;Zm00001eb403550;Zm00001eb428530,Zm00001eb040920:0.00469874;Zm00001eb070510:0.00478499;Zm00001eb073370:0.00264719;Zm00001eb101560:0.00166675;Zm00001eb149530:0.0025423;Zm00001eb153630:0.00191878;Zm00001eb167830:0.00430436;Zm00001eb222050:0.00253334;Zm00001eb228140:0.00378997;Zm00001eb256740:0.000257887;Zm00001eb290670:4.76644e-05;Zm00001eb336650:0.00221346;Zm00001eb362650:0.00490753;Zm00001eb402940:0.0013554;Zm00001eb403550:0.000511572;Zm00001eb428530:0.00258477,SORBI_3001G265700;SORBI_3003G052100;SORBI_3003G375800;SORBI_3006G217900;SORBI_3007G144600,SORBI_3001G265700:0.00243212;SORBI_3003G052100:0.00257239;SORBI_3003G375800:0.000755179;SORBI_3006G217900:0.000962177;SORBI_3007G144600:0.00195798,,,HORVU.MOREX.r3.5HG0511490;HORVU.MOREX.r3.6HG0543250;HORVU.MOREX.r3.7HG0669620,HORVU.MOREX.r3.5HG0511490:0.00143783;HORVU.MOREX.r3.6HG0543250:0.00020331;HORVU.MOREX.r3.7HG0669620:0.00131128,AT1G72300;AT2G02220;AT2G26330;AT5G61480,AT1G72300:0.00261231;AT2G02220:0.00168899;AT2G26330:0.00398497;AT5G61480:0.00385799
pH,666932at2759,4,Zm00001eb068530,Zm00001eb068530:0.000649202,SORBI_3010G052600,SORBI_3010G052600:0.00190732,,,HORVU.MOREX.r3.2HG0204820,HORVU.MOREX.r3.2HG0204820:0.00187941,AT3G50260;AT5G67190,AT3G50260:0.00054268;AT5G67190:8.35582e-05
pH,705275at2759,4,Zm00001eb362000,Zm00001eb362000:0.000192808,,,LOC_Os03g01620,LOC_Os03g01620:0.000946102,HORVU.MOREX.r3.2HG0096800,HORVU.MOREX.r3.2HG0096800:0.000811365,AT1G04610;AT4G28720,AT1G04610:0.0019743;AT4G28720:0.00208542
pH,91193at2759,4,Zm00001eb015710;Zm00001eb215310,Zm00001eb015710:0.00248954;Zm00001eb215310:0.00183867,SORBI_3001G099100,SORBI_3001G099100:0.00201513,,,HORVU.MOREX.r3.7HG0669790,HORVU.MOREX.r3.7HG0669790:0.000395064,AT5G49720,AT5G49720:0.00114814
pH,101881at38820,3,Zm00001eb403460,Zm00001eb403460:0.00124899,SORBI_3001G099800,SORBI_3001G099800:0.00201513,LOC_Os03g01660,LOC_Os03g01660:0.0011105,,,,
pH,105955at2759,3,Zm00001eb420920,Zm00001eb420920:0.00373339,SORBI_3003G341700;SORBI_3003G341800,SORBI_3003G341700:0.0029036;SORBI_3003G341800:0.0029036,,,,,AT3G09520,AT3G09520:0.00312947
pH,110816at2759,3,Zm00001eb313460,Zm00001eb313460:0.00157877,SORBI_3010G212700,SORBI_3010G212700:0.000297736,,,,,AT5G46700,AT5G46700:0.00350977
pH,139695at2759,3,Zm00001eb167740,Zm00001eb167740:0.00312597,SORBI_3004G341300,SORBI_3004G341300:0.00124392,,,,,AT1G01120,AT1G01120:0.00380051
pH,14206at38820,3,Zm00001eb386030,Zm00001eb386030:0.00277162,SORBI_3010G178600,SORBI_3010G178600:0.000343548,,,HORVU.MOREX.r3.7HG0648880,HORVU.MOREX.r3.7HG0648880:0.00204611,,
pH,148967at2759,3,Zm00001eb044960;Zm00001eb221040,Zm00001eb044960:0.000219961;Zm00001eb221040:0.00142155,SORBI_3001G209300,SORBI_3001G209300:0.000404471,LOC_Os10g04910,LOC_Os10g04910:9.13764e-05,,,,
pH,158179at2759,3,Zm00001eb292740,Zm00001eb292740:0.00327015,SORBI_3004G017900,SORBI_3004G017900:0.000694859,,,,,AT2G17800;AT5G45970,AT2G17800:0.00200313;AT5G45970:0.00231667
pH,164184at3193,3,Zm00001eb058860,Zm00001eb058860:0.000483293,SORBI_3003G308100,SORBI_3003G308100:0.00159736,,,,,AT3G07330,AT3G07330:0.00195184
pH,17211at38820,3,Zm00001eb401380,Zm00001eb401380:0.00257174,,,LOC_Os05g01160,LOC_Os05g01160:0.0012979,HORVU.MOREX.r3.3HG0328330,HORVU.MOREX.r3.3HG0328330:0.00234312,,
pH,172657at2759,3,Zm00001eb221030,Zm00001eb221030:0.00142155,SORBI_3001G209500,SORBI_3001G209500:0.000404471,,,HORVU.MOREX.r3.7HG0729040,HORVU.MOREX.r3.7HG0729040:0.000970366,,
pH,176783at3193,3,Zm00001eb066570,Zm00001eb066570:0.000699339,SORBI_3002G250800,SORBI_3002G250800:0.00265009,,,,,AT2G41310,AT2G41310:0.00213928
pH,177033at3193,3,Zm00001eb060660,Zm00001eb060660:0.00262351,,,,,HORVU.MOREX.r3.5HG0510030,HORVU.MOREX.r3.5HG0510030:0.00119984,AT4G02690,AT4G02690:0.00363053
pH,202899at2759,3,Zm00001eb220030;Zm00001eb291460,Zm00001eb220030:0.000406707;Zm00001eb291460:0.00110476,SORBI_3001G192100,SORBI_3001G192100:0.00239336,,,,,AT5G09970,AT5G09970:0.000904523
pH,2042608at2759,3,Zm00001eb326840,Zm00001eb326840:0.00463368,,,,,HORVU.MOREX.r3.1HG0053480,HORVU.MOREX.r3.1HG0053480:0.000733468,AT1G51410;AT1G68540;AT4G30470,AT1G51410:0.00249133;AT1G68540:0.00168774;AT4G30470:0.00331145
pH,216201at2759,3,,,SORBI_3010G220400,SORBI_3010G220400:0.00146873,,,HORVU.MOREX.r3.7HG0738310,HORVU.MOREX.r3.7HG0738310:0.000553124,AT1G30950,AT1G30950:0.00309735
pH,21766at4447,3,Zm00001eb431510;Zm00001eb431520,Zm00001eb431510:0.000439508;Zm00001eb431520:0.000439508,SORBI_3006G227100;SORBI_3006G227400,SORBI_3006G227100:0.000464841;SORBI_3006G227400:0.000464841,,,HORVU.MOREX.r3.2HG0199430,HORVU.MOREX.r3.2HG0199430:0.000908758,,
pH,223441at33090,3,Zm00001eb056860,Zm00001eb056860:0.00155419,,,,,HORVU.MOREX.r3.5HG0509750,HORVU.MOREX.r3.5HG0509750:0.000359724,AT1G05520;AT4G14160,AT1G05520:0.002045;AT4G14160:0.00330225
pH,225395at2759,3,,,SORBI_3004G265800,SORBI_3004G265800:0.00273221,,,HORVU.MOREX.r3.6HG0607920,HORVU.MOREX.r3.6HG0607920:0.000147088,AT1G26190,AT1G26190:0.00217322
pH,2547374at2759,3,Zm00001eb147990;Zm00001eb148000;Zm00001eb290330,Zm00001eb147990:0.00470973;Zm00001eb148000:0.00470973;Zm00001eb290330:0.00235125,,,,,HORVU.MOREX.r3.2HG0095510,HORVU.MOREX.r3.2HG0095510:0.000324531,AT2G21250;AT2G21260;AT5G62420,AT2G21250:0.00137143;AT2G21260:0.00137143;AT5G62420:0.000477507
pH,269485at33090,3,Zm00001eb152900,Zm00001eb152900:0.00201102,,,,,HORVU.MOREX.r3.7HG0658750,HORVU.MOREX.r3.7HG0658750:1.93308e-05,AT3G07160,AT3G07160:0.00362117
pH,2706959at2759,3,Zm00001eb213010,Zm00001eb213010:0.00315378,,,LOC_Os01g01800,LOC_Os01g01800:0.000382365,,,AT4G06744,AT4G06744:0.00123679
pH,279037at3193,3,Zm00001eb363310,Zm00001eb363310:0.00418972,SORBI_3003G420100,SORBI_3003G420100:0.000107824,,,HORVU.MOREX.r3.3HG0316870,HORVU.MOREX.r3.3HG0316870:0.00249412,,
pH,284688at2759,3,Zm00001eb143360;Zm00001eb167910,Zm00001eb143360:8.80924e-05;Zm00001eb167910:0.00279355,,,,,HORVU.MOREX.r3.3HG0309930,HORVU.MOREX.r3.3HG0309930:0.00100986,AT5G20280,AT5G20280:0.00370982
pH,343542at2759,3,Zm00001eb124690,Zm00001eb124690:0.00336742,SORBI_3003G077500,SORBI_3003G077500:0.00143796,,,,,AT2G40070,AT2G40070:0.00277389
pH,3497239at2759,3,Zm00001eb121300,Zm00001eb121300:0.004637,,,LOC_Os03g07650,LOC_Os03g07650:0.000463868,,,AT2G45490,AT2G45490:0.00124694
pH,35842at33090,3,Zm00001eb144930,Zm00001eb144930:0.0018955,,,,,HORVU.MOREX.r3.6HG0540480,HORVU.MOREX.r3.6HG0540480:0.0010616,AT1G17420,AT1G17420:0.00115948
pH,370475at33090,3,Zm00001eb193190,Zm00001eb193190:9.99436e-06,,,,,HORVU.MOREX.r3.4HG0396660,HORVU.MOREX.r3.4HG0396660:0.00178884,AT2G06510,AT2G06510:0.00289567
pH,38107at4447,3,Zm00001eb070820;Zm00001eb430880,Zm00001eb070820:0.00447756;Zm00001eb430880:0.00211488,SORBI_3006G261400,SORBI_3006G261400:0.00078709,,,HORVU.MOREX.r3.2HG0190650,HORVU.MOREX.r3.2HG0190650:0.000979443,,
pH,412870at2759,3,Zm00001eb048270,Zm00001eb048270:0.00202555,,,,,HORVU.MOREX.r3.7HG0716180,HORVU.MOREX.r3.7HG0716180:0.00147959,AT1G10430;AT1G69960,AT1G10430:0.00210878;AT1G69960:0.00270329
pH,42477at4447,3,Zm00001eb311440,Zm00001eb311440:0.00378537,SORBI_3001G375500;SORBI_3003G373200;SORBI_3004G318800,SORBI_3001G375500:0.0016789;SORBI_3003G373200:0.00210558;SORBI_3004G318800:0.00069345,,,HORVU.MOREX.r3.7HG0657320,HORVU.MOREX.r3.7HG0657320:0.00155905,,
pH,429320at2759,3,Zm00001eb397050,Zm00001eb397050:0.00406903,SORBI_3008G003200,SORBI_3008G003200:0.00236719,,,HORVU.MOREX.r3.2HG0108020,HORVU.MOREX.r3.2HG0108020:0.00134318,,
pH,442385at2759,3,Zm00001eb075270;Zm00001eb248880;Zm00001eb404050,Zm00001eb075270:0.000170337;Zm00001eb248880:0.000337268;Zm00001eb404050:0.000630742,SORBI_3001G195000,SORBI_3001G195000:0.000304085,,,,,AT4G10390,AT4G10390:0.00328179
pH,447116at2759,3,Zm00001eb045780;Zm00001eb289320,Zm00001eb045780:0.00109708;Zm00001eb289320:0.00303075,SORBI_3003G373000,SORBI_3003G373000:0.00210558,,,,,AT1G17950;AT4G09460;AT5G40330,AT1G17950:0.00162365;AT4G09460:0.00356247;AT5G40330:0.00183618
pH,450949at3193,3,Zm00001eb061060,Zm00001eb061060:0.000545399,SORBI_3001G054800,SORBI_3001G054800:0.000385659,LOC_Os03g07990,LOC_Os03g07990:0.000124784,,,,
